//StickyStudy Japanese Deck//	0	//	535-5-0-96-23	440058208_-1_-160_-1_0_-1_1-1-2-2-0-0-0-0-8-0-156-40-0-1-1-3-4-0-7-10-0-0-0-0-0-407-1
------------------------------------------------------------------
呼ぶ	[v5b,vt]	よぶ	(1) to call out (to), to call, to invoke, (2) to summon (a doctor, etc.), (3) to invite, (4) to designate, to name, to brand, (5) to garner (support, etc.), to gather, (6) (arch) to take as one's wife	[440058167_0_50_48_0_0_NEW]
渡る	[v5r,vi]	わたる	(1) to cross over, to go across, (2) to extend, to cover, to range, to span	[440058182_0_46_41_0_0_NEW]
貼る	[v5r]	はる	(1) to stick, to paste, to affix, to link (e.g. in WWW forums), (2) to stretch, to spread, to strain, to tighten, (3) to form (e.g. ice on a pond), (4) to fill, to swell, (5) to stick out, to put, to slap, (6) to be expensive	[440058190_0_43_37_0_0_NEW]
点ける	[v1,vt]	つける	to turn on	[440058195_0_34_32_0_0_NEW]
締める	[v1,vt]	しめる	(1) to tie, to fasten, (2) to total, to sum, (3) to be strict with, (4) to economize (economise), to cut down on, (5) to make sushi adding a mixture of vinegar and salt	[440058199_0_35_32_0_0_NEW]
降る	[v5r,vi]	ふる, くだる	to precipitate, to fall (e.g. rain)	[440058211_0_37_33_0_0_NEW]
磨く	[v5k,vt]	みがく	(1) to polish, to shine, to brush (e.g. teeth), (2) to refine, to improve	[440058217_0_37_33_0_0_NEW]
曲る	[v5r,vi]	まがる	to turn, to bend	[424285853_0_33_30_0_0_NEW]
咲く	[v5k,vi]	さく	to bloom	[424285877_0_32_27_0_0_NEW]
吹く	[v5k]	ふく	(1) to blow (wind, etc.), to play a wind instrument, (2) to emit, to spout, (3) to whistle	[424285855_0_28_25_0_0_NEW]
上げる	[v1,vt]	あげる	(1) to raise, to elevate, (2) to do up (one's hair), (3) to fly (a kite, etc.), to launch, (4) to land (a boat), (5) to send someone (away), (6) to increase (price, quality, status, etc.), (7) to raise (one's voice)	[408174037_1_31_26_0_0_5704]
玄関	[n,adj-no]	げんかん	entranceway, entry hall, vestibule, foyer	[424285727_1_33_26_0_0_1360]
渡す	[v5s,vt]	わたす	(1) to ferry across (a river, etc.), to carry across, to traverse, (2) to lay across, to build across, (3) to hand over, to hand in, to pass, to give, to transfer	[424285859_0_24_22_0_0_NEW]
置く	[v5k]	おく	(1) to put, to place, (2) to leave (behind), (3) (uk) to do something in advance (usu. following te-form verb)	[424285741_1_32_25_0_0_1360]
入れる	[v1,vt]	いれる	(1) to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.), (2) to admit, to accept, to employ, to hire, (3) to accept, to comply, to grant, to adopt (a policy, etc.)	[424285861_0_18_18_0_0_NEW]
終る	[v5r,vi]	おわる	to finish, to end, to close	[408174045_1_22_19_0_0_5704]
かける	[aux-v,v1]		to call by phone	[424285599_1_30_22_0_0_0259]
出る	[v1,vi]	でる	(1) to go out, to exit, to leave, (2) to appear, to come forth, to be published, (3) to answer (the phone or door)	[424285864_0_23_19_0_0_NEW]
走る	[v5r,vi]	はしる	(1) to run, (2) to travel (movement of vehicles), (3) to hurry to, (4) to retreat (from battle), to take flight, (5) to run away from home, (6) to elope, (7) to tend heavily toward	[424285621_0_21_17_0_0_NEW]
登る	[v5r,vi]	のぼる	(1) to ascend, to go up, to climb, (2) to ascend (as a natural process, e.g. the sun), to rise, (3) to go to (the capital), (4) to be promoted, (5) to add up to, (6) to advance (in price), (7) to swim up (a river), to sail up	[424285455_0_12_12_0_0_NEW]
閉める	[v1,vt]	しめる	to close, to shut	[424285539_0_17_14_0_0_NEW]
歩く	[v5k,vi]	あるく	to walk	[424285468_0_18_14_0_0_NEW]
かかる	[v5r,vi]		to take time or money	[424285492_0_17_13_0_0_NEW]
鳴く	[v5k]	なく	(1) to sing (bird), (2) to bark, to purr, to make sound (animal)	[424285497_0_16_12_0_0_NEW]
授業	[n,vs]	じゅぎょう	lesson, class work, teaching, instruction	[407995618_0_17_11_0_0_NEW]
